building,room,classname
4,111,23数字媒体04 (233504)
4,113,223521
4,116,23影视多媒体51 (235501)
4,124,23网络技术51 (235H03)
4,214,23移动互联51 (235H01)
4,215,225H01
4,216,23移动互联52 (235H02)
4,217,225F01
4,218,23电子商务51 (235F01)
4,307,24直播电商11 (243U11)
4,314,24工业机器人51 (245Y01)
4,315,24机电一体化51 (245401)
4,316,24电子商务51 (245F01)
4,317,24机电一体化52 (245402)
4,318,24网络技术51 (245H03)
4,319,24软件技术51 (245T01)
4,320,225T01
4,321,23软件技术51 (235T01)
4,410,24信息安全51 (245Q01)
4,411,23信息安全51 (235Q01)
4,412,24信息安全52 (245Q02)
4,413,23信息安全52 (235Q02)
4,414,24移动互联51 (245H01)
4,415,24影视多媒体51 (245501)
4,416,24移动互联52 (245H02)
12,106,24数字媒体02 (243502)
12,207,24人工智能71 (247Z01)
12,309,24智能产线01 (243W01)
12,401,24分析检验01 (243201)
12,402,24食品质量51 (245V01)
12,403,23食品质量51 (235V01)
12,404,225V01
12,407,24人工智能01 (243Z01)
12,408,24移动应用01 (243X01)
12,409,24软件服务01 (243L01)
12,501,24服务机器人01 (243P01)
12,502,24工业机器人01 (243Y01)
12,503,24跨境电商01 (243O01)
12,504,24首饰设计01 (243901)
12,507,24药品食品01 (243V01)
12,508,223501
12,509,24跨境电商02 (243O02)
12,510,24数控技术01 (244K01)
